id	HR	HR.95L	HR.95H	pvalue
EPHA3	0.769874472622055	0.644501256537751	0.919636226590304	0.00392995384806076
NLRC3	0.642464358608873	0.522861862259141	0.789425433133119	2.55704085438594e-05
CD3G	0.715449767162167	0.59693051507566	0.857500758304373	0.000290472934533841
CLDN10	0.879783577939799	0.763033728739235	1.01439702448209	0.0778696476268218
SLAMF6	0.716932183517041	0.605227006589664	0.849254494869215	0.00011777331822772
RORB	0.691175365841829	0.559597954090553	0.853690373337716	0.000607751036467077
ADCY5	0.829545645033572	0.704232651329281	0.977157159491609	0.025318122128887
CLEC10A	0.725318956841237	0.604339576322572	0.870516527073276	0.00056183230707984
CXCR3	0.747851568275722	0.630128447264712	0.887568194389908	0.000884921806757082
NRROS	0.792171821965766	0.620589338800821	1.0111939672202	0.0614024510336237
FRZB	0.6692518508027	0.542389467104471	0.825786758348995	0.000180387633804265
CD48	0.774607635185238	0.640785518323532	0.93637726092355	0.00830803947732964
SKAP1	0.773094952029031	0.639041930837399	0.935268526228908	0.00807936407793031
CD180	0.80573142967724	0.660845195964888	0.982383076602136	0.032703875426922
CHDH	0.801462251414447	0.673789463907494	0.953327077448192	0.0124246460783277
CSF2	1.21108421146798	1.06306083110281	1.37971875583589	0.00398478268490454
RAB42	0.845143676628848	0.680283730203725	1.04995577938021	0.128596351231349
SMC1B	0.830450673725555	0.709599304510759	0.97188415646308	0.0205921605682277
P2RY10	0.726080338378769	0.6028077116014	0.87456190031097	0.000746660055101248
SIRPG	0.730744082190383	0.608078570140701	0.878154468644911	0.000820400412943392
CD22	0.754395176487319	0.61743350927232	0.921738249966484	0.00582959466325948
PLA2G2D	0.820931029405711	0.710670248735216	0.948298815435869	0.00733257883295953
CD28	0.646904706473692	0.523911208303641	0.798772182433009	5.16096378768315e-05
F5	0.773273792762758	0.63652251406467	0.939404884134153	0.00961173255232538
TNFRSF13C	0.753043347841747	0.625962316854666	0.905923996476561	0.0026328728389018
CD27	0.69376887694648	0.573874464929316	0.838711746268174	0.000158757086236075
GRAP2	0.661197236689299	0.53155700093039	0.822455136589982	0.000202927477326129
SLAMF1	0.675903703502216	0.546014189048637	0.836692206120155	0.000321289354777039
LAX1	0.684468057579072	0.561235026928979	0.834759947912789	0.000181637154116521
CCR4	0.658925621041933	0.545851037058845	0.795423924455584	1.40701526235788e-05
ZNF541	0.697220734573422	0.567748862403591	0.856217924701962	0.000579493268222779
GRIN2A	0.918855939642147	0.7818463489791	1.07987488707736	0.30432443721018
CD8B	0.82574998729641	0.688973121929518	0.989680177378206	0.0382433060929538
RHBDL3	0.88369776507283	0.744899917399927	1.04835793608425	0.156116671975131
SIT1	0.710776785875827	0.580226349878043	0.870700959110457	0.000976689285745926
GPR15	0.746617734909203	0.633551842413091	0.879861764678581	0.000487361914803549
SH2D1A	0.705791003748486	0.576918230875912	0.863451550518673	0.000706103589780764
LY9	0.695305895653876	0.571471556100189	0.845974368051105	0.000281859900658987
ADARB2	0.801452331007622	0.661861753970142	0.970483390261778	0.0234012881978138
CCR2	0.73156176947466	0.591234744449157	0.905194810659369	0.00401938227605957
ZMAT1	0.667807425798746	0.541979656979694	0.822847780739962	0.000150349581384205
CD19	0.690866928726933	0.559630983541339	0.852878284522872	0.000580623747626244
UBASH3A	0.669797272261655	0.535260972453587	0.838148882539823	0.000459512370264493
ZNF831	0.594510523070993	0.478178725879989	0.73914363586901	2.86064431133642e-06
KEL	0.710894221974678	0.55185011687564	0.915775097952671	0.00826848880139489
MYCN	0.740450814241878	0.580943596187767	0.943753252311012	0.0151969767394355
TLR10	0.626590481410826	0.484767882870199	0.809904379535344	0.000356637579029385
COL6A6	0.700233878123577	0.551139456858589	0.889661369677244	0.00353377158479414
FCRL3	0.691766635109424	0.561709552186292	0.851936869487143	0.000524338239188283
AFF3	0.623088557285383	0.47881189057144	0.810838990979598	0.000430972886771483
PRRG3	0.833292043424424	0.693766328326643	1.00087825148459	0.0511076651694218
TNFRSF17	0.712442254367092	0.580117563405042	0.874950178767941	0.00121955962296447
TRAT1	0.722996123430389	0.579100287876205	0.90264744369651	0.00417645566182307
